"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SOTT1CaseInfo","SOTT1CaseInfo","SOTT1CaseInfo","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1  Case Information","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.commonFood","SOTT1ExposureWaterFood.commonFood","","","",0,1,"","","","string {[]} {[]}
","Specify common foods consumed","Describe the specific common foods consumed","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.commonFood",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.foodShared","SOTT1ExposureWaterFood.foodShared","","","",0,1,"","","","code {[]} {[]}
","Have you shared a meal with others who you know are also experiencing the same symptoms?","Have you shared a meal with others who you know are also experiencing the same symptoms?","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ExposureWaterFood.foodShared",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.specifyFoodsConsumed","SOTT1ExposureWaterFood.specifyFoodsConsumed","","","",0,1,"","","","string {[]} {[]}
","Specify foods consumed","Specify the foods shared with others with the same symptoms","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.specifyFoodsConsumed",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.specifyWhenFoodSharing","SOTT1ExposureWaterFood.specifyWhenFoodSharing","","","",0,1,"","","","string {[]} {[]}
","Specify when these meals were shared","Specify when these meals were shared","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.specifyWhenFoodSharing",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.foodDiseaseSuspected","SOTT1ExposureWaterFood.foodDiseaseSuspected","","","",0,1,"","","","code {[]} {[]}
","Does the patient suspect a specific food or the beverage to be the cause of the disease","Does the patient suspect a specific food or the beverage to be the cause of the disease","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ExposureWaterFood.foodDiseaseSuspected",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.explainSuspicion","SOTT1ExposureWaterFood.explainSuspicion","","","",0,1,"","","","string {[]} {[]}
","Explain why this suspicion","Explain why this suspicion","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.explainSuspicion",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.anyNotableChanges","SOTT1ExposureWaterFood.anyNotableChanges","","","",0,1,"","","","code {[]} {[]}
","Were there any notable changes to the types of sources of food or drinks normally consumed prior to symptom onset","Were there any notable changes to the types of sources of food or drinks normally consumed prior to symptom onset","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ExposureWaterFood.anyNotableChanges",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.specifyChanges","SOTT1ExposureWaterFood.specifyChanges","","","",0,1,"","","","string {[]} {[]}
","Specify changes","Describe the changes to the types of sources","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.specifyChanges",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.morningFood","SOTT1ExposureWaterFood.morningFood","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureFoodDetails {[]} {[]}
","Details of food in the morning","Details of food in the morning","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.morningFood",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.middayFood","SOTT1ExposureWaterFood.middayFood","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureFoodDetails {[]} {[]}
","Details of food at mid-day","Details of food at mid-day","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.middayFood",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.eveningFood","SOTT1ExposureWaterFood.eveningFood","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureFoodDetails {[]} {[]}
","Details of food in the evening","Details of food in the evening","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.eveningFood",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.morningBeverage","SOTT1ExposureWaterFood.morningBeverage","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureFoodDetails {[]} {[]}
","Details of beverage in the morning","Details of beverage in the morning","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.morningBeverage",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.middayBeverage","SOTT1ExposureWaterFood.middayBeverage","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureFoodDetails {[]} {[]}
","Details of beverage at mid-day","Details of beverage at mid-day","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.middayBeverage",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.eveningBeverage","SOTT1ExposureWaterFood.eveningBeverage","","","",0,1,"","","","http://ritikarawlani.github.io/smart-outbreak-measles/StructureDefinition/SOTT1ExposureFoodDetails {[]} {[]}
","Details of beverage in the evening","Details of beverage in the evening","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.eveningBeverage",0,1,"",""
"SOTT1ExposureWaterFood","SOTT1ExposureWaterFood.otherObservation","SOTT1ExposureWaterFood.otherObservation","","","",0,1,"","","","string {[]} {[]}
","Any other observation to share regarding food and drinks","Any other observation to share regarding food and drinks","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterFood.otherObservation",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1 Clinical - Comorbidity","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.id","SOTT1ClinicalComorbidity.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.extension","SOTT1ClinicalComorbidity.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.modifierExtension","SOTT1ClinicalComorbidity.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.pregnancy","SOTT1ClinicalComorbidity.pregnancy","","","",0,1,"","","","code {[]} {[]}
","Pregancy","Is the patient pregant?","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalComorbidity.pregnancy",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.monthsPregnant","SOTT1ClinicalComorbidity.monthsPregnant","","","",0,1,"","","","Quantity {[]} {[]}
","Months pregnant","How many month is the case pregnant","","","","","","","","","",,,,,"",,,,"SOTT1ClinicalComorbidity.monthsPregnant",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.postPartum","SOTT1ClinicalComorbidity.postPartum","","","",0,1,"","","","code {[]} {[]}
","Post-partum (<6 weeks)","date of delivery","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalComorbidity.postPartum",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.postPartumWeeks","SOTT1ClinicalComorbidity.postPartumWeeks","","","",0,1,"","","","Quantity {[]} {[]}
","Weeks post-partum","How many weeks since the delivery","","","","","","","","","",,,,,"",,,,"SOTT1ClinicalComorbidity.postPartumWeeks",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.underlyingConditions","SOTT1ClinicalComorbidity.underlyingConditions","","","",0,1,"","","","code {[]} {[]}
","Underlying conditions","Does the patient have co-morbidity existing prior to admission that are active problems","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalComorbidity.underlyingConditions",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.chronicDisease","SOTT1ClinicalComorbidity.chronicDisease","","","",0,1,"","","","code {[]} {[]}
","Chronic disease","Is the patient suffering from a chronic disease?","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalComorbidity.chronicDisease",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.specifyChronicDisease","SOTT1ClinicalComorbidity.specifyChronicDisease","","","",0,1,"","","","string {[]} {[]}
","Specify chronic disease","Is the patient suffering from a chronic disease? If yes indicate name","","","","","","","","","",,,,,"",,,,"SOTT1ClinicalComorbidity.specifyChronicDisease",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.acuteChronicDisease","SOTT1ClinicalComorbidity.acuteChronicDisease","","","",0,1,"","","","code {[]} {[]}
","Associated acute or chronic disease, please specifiy","Is the patient suffering from an acute or chronic disease at the time of this illness?","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalComorbidity.acuteChronicDisease",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.specifyAcuteChronicDisease","SOTT1ClinicalComorbidity.specifyAcuteChronicDisease","","","",0,1,"","","","string {[]} {[]}
","if yes, name:","Is the patient suffering from an acute or chronic disease at the time of this illness? If yes indicate name","","","","","","","","","",,,,,"",,,,"SOTT1ClinicalComorbidity.specifyAcuteChronicDisease",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.immunodeficiency","SOTT1ClinicalComorbidity.immunodeficiency","","","",0,1,"","","","code {[]} {[]}
","Immunodeficiency","Is the patient immunodeficient (Is the patient treated with drugs that decreased immune response)?","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalComorbidity.immunodeficiency",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.specifyImmunodeficiency","SOTT1ClinicalComorbidity.specifyImmunodeficiency","","","",0,1,"","","","string {[]} {[]}
","Specify immunodeficiency","Describe the immunodeficiency","","","","","","","","","",,,,,"",,,,"SOTT1ClinicalComorbidity.specifyImmunodeficiency",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.malnutrition","SOTT1ClinicalComorbidity.malnutrition","","","",0,1,"","","","code {[]} {[]}
","Malnutrition","Severly underweight?","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalComorbidity.malnutrition",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.muac","SOTT1ClinicalComorbidity.muac","","","",0,1,"","","","Quantity {[]} {[]}
","MUAC (cm):","if possible provide the MUAC score","","","","","","","","","",,,,,"",,,,"SOTT1ClinicalComorbidity.muac",0,1,"",""
"SOTT1ClinicalComorbidity","SOTT1ClinicalComorbidity.otherConditions","SOTT1ClinicalComorbidity.otherConditions","","","",0,1,"","","","string {[]} {[]}
","Other conditions impacting health, specify","Describe other underlaying conditions that impact the health of the patient","","","","","","","","","",,,,,"",,,,"SOTT1ClinicalComorbidity.otherConditions",0,1,"",""
"SOTT1ExposureWaterDetails","SOTT1ExposureWaterDetails","SOTT1ExposureWaterDetails","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1  Exposure - Water Details","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1ExposureWaterDetails","SOTT1ExposureWaterDetails.id","SOTT1ExposureWaterDetails.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTT1ExposureWaterDetails","SOTT1ExposureWaterDetails.extension","SOTT1ExposureWaterDetails.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ExposureWaterDetails","SOTT1ExposureWaterDetails.modifierExtension","SOTT1ExposureWaterDetails.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ExposureWaterDetails","SOTT1ExposureWaterDetails.drinkingWaterSource","SOTT1ExposureWaterDetails.drinkingWaterSource","","","",0,1,"","","","string {[]} {[]}
","Source of drinking water","Describe the source of drinking water (well, tap, river, borehole, piped)","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterDetails.drinkingWaterSource",0,1,"",""
"SOTT1ExposureWaterDetails","SOTT1ExposureWaterDetails.waterCharacteristics","SOTT1ExposureWaterDetails.waterCharacteristics","","","",0,*,"","","","code {[]} {[]}
","Characteristics of drinking water","Was the water clear, filtered or treated (multiple answers possible)","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/WaterCharacteristics","",,,,"SOTT1ExposureWaterDetails.waterCharacteristics",0,*,"",""
"SOTT1ExposureWaterDetails","SOTT1ExposureWaterDetails.comments","SOTT1ExposureWaterDetails.comments","","","",0,1,"","","","string {[]} {[]}
","Comments on drinking water","Any further comment on drinking water (smell? Appearance? Scarcety?)","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterDetails.comments",0,1,"",""
"SOTT1ExposureWaterDetails","SOTT1ExposureWaterDetails.nonDrinkingWaterSource","SOTT1ExposureWaterDetails.nonDrinkingWaterSource","","","",0,1,"","","","string {[]} {[]}
","Source of non-drinking water","Describe source of non-drinking water (water for washing, livestock, irrigation, etc)","","","","","","","","","",,,,,"",,,,"SOTT1ExposureWaterDetails.nonDrinkingWaterSource",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology","SOTT1ClinicalNeurology","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit T1 Clinical - Neurology","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.id","SOTT1ClinicalNeurology.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.extension","SOTT1ClinicalNeurology.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.modifierExtension","SOTT1ClinicalNeurology.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.neurologicalDisorders","SOTT1ClinicalNeurology.neurologicalDisorders","","","",0,1,"","","","code {[]} {[]}
","Observed any neurological disorders","Observed any neurological disorders","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalNeurology.neurologicalDisorders",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.paralysis","SOTT1ClinicalNeurology.paralysis","","","",0,1,"","","","code {[]} {[]}
","Paralysis","Paralysis","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalNeurology.paralysis",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.flaccidParalysis","SOTT1ClinicalNeurology.flaccidParalysis","","","",0,1,"","","","code {[]} {[]}
","Flaccid paralysis","Flaccid paralysis","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalNeurology.flaccidParalysis",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.spasticParalysis","SOTT1ClinicalNeurology.spasticParalysis","","","",0,1,"","","","code {[]} {[]}
","Spastic paralysis","Spastic paralysis","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalNeurology.spasticParalysis",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.abnormalMovements","SOTT1ClinicalNeurology.abnormalMovements","","","",0,1,"","","","code {[]} {[]}
","Abnormal movements","Abnormal movements","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalNeurology.abnormalMovements",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.seizures","SOTT1ClinicalNeurology.seizures","","","",0,1,"","","","code {[]} {[]}
","Seizures","Myoclonies, tremors, epilepsy, seizures/convulsions","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalNeurology.seizures",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.mentalDisorders","SOTT1ClinicalNeurology.mentalDisorders","","","",0,1,"","","","code {[]} {[]}
","Mental Disorders: agitation, confusion","Mental Disorders: agitation, confusion","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalNeurology.mentalDisorders",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.irritability","SOTT1ClinicalNeurology.irritability","","","",0,1,"","","","code {[]} {[]}
","Irritability/confusion","Presence of any conscious disorder","","","","","","","","","",,,,,"",,,,"SOTT1ClinicalNeurology.irritability",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.coma","SOTT1ClinicalNeurology.coma","","","",0,1,"","","","code {[]} {[]}
","Drowsiness, coma","Absence of reaction to orders","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNoUnknown","",,,,"SOTT1ClinicalNeurology.coma",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.stiffNeck","SOTT1ClinicalNeurology.stiffNeck","","","",0,1,"","","","code {[]} {[]}
","Neck stiffness","Neck stiffnes","","","","","","","","","",,"required","","http://ritikarawlani.github.io/smart-outbreak-measles/ValueSet/YesNo","",,,,"SOTT1ClinicalNeurology.stiffNeck",0,1,"",""
"SOTT1ClinicalNeurology","SOTT1ClinicalNeurology.otherNeuroSigns","SOTT1ClinicalNeurology.otherNeuroSigns","","","",0,1,"","","","string {[]} {[]}
","Any other neurological sign","Any others not mentionned neurological signs observed","","","","","","","","","",,,,,"",,,,"SOTT1ClinicalNeurology.otherNeuroSigns",0,1,"",""
"SOTMeaslesLaboratoryResults","SOTMeaslesLaboratoryResults","SOTMeaslesLaboratoryResults","","","",0,*,"","","","null {[]} {[]}
","Surveillance & Outbreak Toolkit Measles- Laboratory Resultss","Base definition for all elements that are defined inside a resource - but not those in a data type.","","","","","","","","","",,,,,"",,,,"BackboneElement",0,*,"ele-1
",""
"SOTMeaslesLaboratoryResults","SOTMeaslesLaboratoryResults.id","SOTMeaslesLaboratoryResults.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SOTMeaslesLaboratoryResults","SOTMeaslesLaboratoryResults.extension","SOTMeaslesLaboratoryResults.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
